root,emotion,duration,actor,condition,microphone
./studio021/con/s021_con_actor077_impro6_4.flac,Neutral,6.01,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_9.flac,Neutral,1.6060090702947847,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_8.flac,Frustrated,1.1029931972789115,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_7.flac,Happy,6.640997732426304,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_6.flac,Happy,3.7009977324263037,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_5.flac,Neutral,3.629002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_13.flac,Happy,5.020997732426304,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_11.flac,Neutral,1.549002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_14.flac,Neutral,1.7639909297052154,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_19.flac,Happy,1.8580045351473924,actor077,studio,con
./studio021/con/s021_con_actor077_impro6_18.flac,Happy,2.840997732426304,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_4.flac,Sad,4.719002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_2.flac,Frustrated,6.599002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_3.flac,Frustrated,1.7350113378684808,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_1.flac,Frustrated,0.99,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_5.flac,Frustrated,9.97,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_9.flac,Frustrated,1.549002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_impro8_1.flac,Frustrated,14.391995464852608,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_16.flac,Frustrated,3.099002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_17.flac,Frustrated,1.8929931972789116,actor077,studio,con
./studio021/con/s021_con_actor077_impro7_14.flac,Frustrated,12.020997732426304,actor077,studio,con
./studio021/con/s021_con_actor077_impro8_3.flac,Frustrated,14.296009070294785,actor077,studio,con
./studio021/con/s021_con_actor077_impro8_4.flac,Neutral,8.629002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_impro8_6.flac,Frustrated,5.221995464852608,actor077,studio,con
./studio021/con/s021_con_actor077_impro8_8.flac,Frustrated,6.655011337868481,actor077,studio,con
./studio021/con/s021_con_actor077_impro8_5.flac,Frustrated,9.425011337868481,actor077,studio,con
./studio021/con/s021_con_actor077_impro8_12.flac,Neutral,2.1970068027210883,actor077,studio,con
./studio021/con/s021_con_actor077_impro8_10.flac,Neutral,8.72501133786848,actor077,studio,con
./studio021/con/s021_con_actor077_impro9_1.flac,Neutral,1.5439909297052155,actor077,studio,con
./studio021/con/s021_con_actor077_impro9_6.flac,Sad,8.46501133786848,actor077,studio,con
./studio021/con/s021_con_actor077_impro9_3.flac,Neutral,6.967006802721088,actor077,studio,con
./studio021/con/s021_con_actor077_impro9_8.flac,Neutral,8.99,actor077,studio,con
./studio021/con/s021_con_actor077_impro9_12.flac,Neutral,1.4519954648526077,actor077,studio,con
./studio021/con/s021_con_actor077_impro9_11.flac,Neutral,13.13,actor077,studio,con
./studio021/con/s021_con_actor077_impro9_13.flac,Neutral,4.016009070294785,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_3.flac,Frustrated,1.059002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_4.flac,Neutral,1.0729931972789115,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_12.flac,Angry,0.7539909297052154,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_9.flac,Frustrated,1.6529931972789116,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_8.flac,Frustrated,1.420997732426304,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_15.flac,Frustrated,1.710997732426304,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_16.flac,Frustrated,1.1750113378684808,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_20.flac,Angry,3.9729931972789116,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_22.flac,Frustrated,2.4360090702947845,actor077,studio,con
./studio021/con/s021_con_actor077_script1_1_1a.flac,Neutral,3.230997732426304,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_23.flac,Frustrated,3.2339909297052154,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_25.flac,Angry,2.7409977324263037,actor077,studio,con
./studio021/con/s021_con_actor077_impro10_24.flac,Neutral,0.6239909297052154,actor077,studio,con
./studio021/con/s021_con_actor077_script1_1_2a.flac,Neutral,3.9550113378684806,actor077,studio,con
./studio021/con/s021_con_actor077_script1_1_1b.flac,Neutral,3.149002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_script1_1_3b.flac,Happy,3.2660090702947846,actor077,studio,con
./studio021/con/s021_con_actor077_script1_2_2a.flac,Frustrated,3.9770068027210885,actor077,studio,con
./studio021/con/s021_con_actor077_script1_1_5b.flac,Neutral,4.2,actor077,studio,con
./studio021/con/s021_con_actor077_script1_2_1a.flac,Neutral,3.5219954648526075,actor077,studio,con
./studio021/con/s021_con_actor077_script1_2_3a.flac,Happy,3.0560090702947846,actor077,studio,con
./studio021/con/s021_con_actor077_script1_2_3b.flac,Happy,3.4060090702947847,actor077,studio,con
./studio021/con/s021_con_actor077_script1_2_5a.flac,Frustrated,4.0009977324263035,actor077,studio,con
./studio021/con/s021_con_actor077_script2_1_1b.flac,Neutral,3.860997732426304,actor077,studio,con
./studio021/con/s021_con_actor077_script2_1_1a.flac,Neutral,3.8019954648526078,actor077,studio,con
./studio021/con/s021_con_actor077_script2_1_3a.flac,Neutral,4.2929931972789115,actor077,studio,con
./studio021/con/s021_con_actor077_script2_1_3b.flac,Neutral,3.7439909297052156,actor077,studio,con
./studio021/con/s021_con_actor077_script2_1_2b.flac,Angry,4.0009977324263035,actor077,studio,con
./studio021/con/s021_con_actor077_script2_1_5b.flac,Neutral,4.199002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_script2_1_4b.flac,Sad,9.029002267573697,actor077,studio,con
./studio021/con/s021_con_actor077_script2_2_1a.flac,Neutral,5.389002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_script2_2_1b.flac,Neutral,4.711995464852608,actor077,studio,con
./studio021/con/s021_con_actor077_script2_2_4b.flac,Sad,6.4970068027210885,actor077,studio,con
./studio021/con/s021_con_actor077_script2_2_5a.flac,Frustrated,5.003990929705216,actor077,studio,con
./studio021/con/s021_con_actor077_script3_1_1a.flac,Neutral,4.630997732426303,actor077,studio,con
./studio021/con/s021_con_actor077_script3_1_1b.flac,Neutral,4.269002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_script3_1_2b.flac,Angry,5.506009070294785,actor077,studio,con
./studio021/con/s021_con_actor077_script3_1_3b.flac,Frustrated,4.479002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_script3_1_3a.flac,Frustrated,5.809002267573696,actor077,studio,con
./studio021/con/s021_con_actor077_script3_1_5a.flac,Frustrated,5.098004535147393,actor077,studio,con
./studio021/con/s021_con_actor077_script3_1_4b.flac,Sad,11.582993197278912,actor077,studio,con
./studio021/con/s021_con_actor077_script3_2_1b.flac,Neutral,4.199002267573696,actor077,studio,con
